TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,PROPERTIE_NAME,PROPERTIE_VALUE
meeting_reservation_sys,meeting_reservation_sys,times,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,times,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,times,INDEX_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,times,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,times,AUTO_INCREMENT,
meeting_reservation_sys,meeting_reservation_sys,times,CREATE_TIME,2025/09/14 12:24:20
meeting_reservation_sys,meeting_reservation_sys,times,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,times,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,times,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,times,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_NAME,users
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,users,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,users,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,users,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,users,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,users,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,INDEX_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,users,AUTO_INCREMENT,1
meeting_reservation_sys,meeting_reservation_sys,users,CREATE_TIME,2025/09/14 12:19:10
meeting_reservation_sys,meeting_reservation_sys,users,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,users,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,users,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,users,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_COMMENT,
